# Created by Octave 3.6.2, Wed Oct 22 22:25:21 2014 BRST <gian@linux-nqi0.site>
# name: rs
# type: matrix
# rows: 31
# columns: 8
 1 4 1 2 1 2 2 1
 3 2 2 2 1 2 3 1
 1 2 3 2 1 3 2 1
 3 2 1 2 2 2 2 1
 1 2 2 2 1 2 2 2
 2 1 1 2 1 2 2 1
 2 3 2 2 1 2 2 2
 3 2 1 2 1 3 2 1
 2 2 3 1 1 3 2 1
 3 3 2 1 1 2 1 2
 2 1 3 2 1 3 1 2
 2 2 2 2 1 2 2 1
 2 2 2 2 1 2 1 1
 2 1 2 2 1 3 2 1
 2 2 2 2 2 2 3 1
 1 2 3 1 1 3 1 1
 1 1 1 2 1 1 2 2
 3 2 2 2 1 2 2 1
 2 1 2 2 2 2 2 1
 3 3 2 2 2 2 1 2
 2 3 2 2 2 1 2 1
 2 1 1 2 1 2 2 1
 3 3 2 2 1 2 2 1
 1 2 2 2 1 2 2 1
 2 2 1 2 1 2 2 1
 3 2 1 2 1 3 2 1
 3 1 2 3 1 1 3 1
 3 2 1 1 1 3 3 2
 1 1 1 2 1 1 1 1
 1 1 2 2 1 2 2 3
 2 2 2 2 1 2 2 1


